v.x,v.y,v.z,n.x,n.y,n.z
0,0,1,0,0,1
0,0.059671671,0.998218058,0,0.059671671,0.998218058
-0.051677308,-0.029835923,0.998218049,-0.051677308,-0.029835923,0.998218049
-0.103170444,-0.059565514,0.992878547,-0.103170444,-0.059565514,0.992878547
-0.051677308,-0.029835923,0.998218049,-0.051677308,-0.029835923,0.998218049
-0.051861973,0.029942364,0.998205285,-0.051861973,0.029942364,0.998205285
0,0.119130679,0.992878583,0,0.119130679,0.992878583
-0.051861973,0.029942364,0.998205285,-0.051861973,0.029942364,0.998205285
0,0.059671671,0.998218058,0,0.059671671,0.998218058
0,0.059671671,0.998218058,0,0.059671671,0.998218058
-0.051861973,0.029942364,0.998205285,-0.051861973,0.029942364,0.998205285
-0.051677308,-0.029835923,0.998218049,-0.051677308,-0.029835923,0.998218049
-0.204871441,-0.118282641,0.971615618,-0.204871441,-0.118282641,0.971615618
-0.15429589,-0.089082819,0.984000523,-0.15429589,-0.089082819,0.984000523
-0.155590769,-0.029084657,0.987393334,-0.155590769,-0.029084657,0.987393334
-0.104655577,0.060422607,0.992671305,-0.104655577,0.060422607,0.992671305
-0.155590769,-0.029084657,0.987393334,-0.155590769,-0.029084657,0.987393334
-0.104100552,0.00042932,0.994566685,-0.104100552,0.00042932,0.994566685
-0.103170444,-0.059565514,0.992878547,-0.103170444,-0.059565514,0.992878547
-0.104100552,0.00042932,0.994566685,-0.104100552,0.00042932,0.994566685
-0.15429589,-0.089082819,0.984000523,-0.15429589,-0.089082819,0.984000523
-0.15429589,-0.089082819,0.984000523,-0.15429589,-0.089082819,0.984000523
-0.104100552,0.00042932,0.994566685,-0.104100552,0.00042932,0.994566685
-0.155590769,-0.029084657,0.987393334,-0.155590769,-0.029084657,0.987393334
0,0.2365646,0.971615763,0,0.2365646,0.971615763
-0.052607497,0.149287349,0.987393406,-0.052607497,0.149287349,0.987393406
0,0.178165119,0.984000605,0,0.178165119,0.984000605
0,0.119130679,0.992878583,0,0.119130679,0.992878583
0,0.178165119,0.984000605,0,0.178165119,0.984000605
-0.05242223,0.089938673,0.994566712,-0.05242223,0.089938673,0.994566712
-0.104655577,0.060422607,0.992671305,-0.104655577,0.060422607,0.992671305
-0.05242223,0.089938673,0.994566712,-0.05242223,0.089938673,0.994566712
-0.052607497,0.149287349,0.987393406,-0.052607497,0.149287349,0.987393406
-0.052607497,0.149287349,0.987393406,-0.052607497,0.149287349,0.987393406
-0.05242223,0.089938673,0.994566712,-0.05242223,0.089938673,0.994566712
0,0.178165119,0.984000605,0,0.178165119,0.984000605
0,0.119130679,0.992878583,0,0.119130679,0.992878583
-0.05242223,0.089938673,0.994566712,-0.05242223,0.089938673,0.994566712
-0.051861973,0.029942364,0.998205285,-0.051861973,0.029942364,0.998205285
-0.103170444,-0.059565514,0.992878547,-0.103170444,-0.059565514,0.992878547
-0.051861973,0.029942364,0.998205285,-0.051861973,0.029942364,0.998205285
-0.104100552,0.00042932,0.994566685,-0.104100552,0.00042932,0.994566685
